Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,18790,9104,7200,8606.599696143168,18.85380501335021,28085.337283991976,4402.690047897818,15.67050284102553,7.592562951819926,7200,11000,14000,16000,20000,22000,24000,25000,28000,28000,28000
PUT,PUT /api/v1/update/MedicationAdministration,9686,7054,57000,38914.62191971954,132.3437570099486,60853.867981990334,378.92628536031384,8.077939889205602,5.882901918073128,57000,60000,60000,60000,60000,60000,60000,60000,61000,61000,61000
,Aggregated,28476,16158,11000,18915.75488850026,18.85380501335021,60853.867981990334,3034.0225453013063,23.748442730231133,13.475464869893054,11000,18000,22000,32000,60000,60000,60000,60000,61000,61000,61000
