Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,PUT /api/v1/update/AdverseEvent,74901,0,51,69.36223122007559,20.742205902934074,1106.7825220525265,1582.0,62.42928940946163,0.0,51,67,78,88,130,170,240,310,660,970,1100
,Aggregated,74901,0,51,69.36223122007559,20.742205902934074,1106.7825220525265,1582.0,62.42928940946163,0.0,51,67,78,88,130,170,240,310,660,970,1100
