Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,PUT /api/v1/update/Procedure,74634,0,62,104.733046147114,20.836778916418552,2097.0336790196598,680.0003885628533,62.21366259769053,0.0,62,83,100,130,210,320,500,690,1600,2100,2100
,Aggregated,74634,0,62,104.733046147114,20.836778916418552,2097.0336790196598,680.0003885628533,62.21366259769053,0.0,62,83,100,130,210,320,500,690,1600,2100,2100
