Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,31837,0,66,142.6103816900394,8.241308009019122,7573.523145998479,5452.0,26.79650146305878,0.0,66,110,140,160,260,350,640,1400,7000,7600,7600
PUT,PUT /api/v1/update/Procedure,31837,0,12000,12991.171984225033,49.1509769926779,35902.02367899474,709.0,26.79650146305878,0.0,12000,22000,25000,26000,28000,29000,30000,31000,33000,35000,36000
,Aggregated,63674,0,200,6566.891182957534,8.241308009019122,35902.02367899474,3080.5,53.59300292611756,0.0,200,2000,12000,19000,26000,28000,29000,30000,33000,35000,36000
