Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,PUT /api/v1/update/Location,23530,5387,21000,21522.18308494211,22.516794997500256,60397.59456299362,478.16986825329366,19.64141054370896,4.496739421970258,21000,27000,31000,34000,41000,55000,60000,60000,60000,60000,60000
,Aggregated,23530,5387,21000,21522.18308494211,22.516794997500256,60397.59456299362,478.16986825329366,19.64141054370896,4.496739421970258,21000,27000,31000,34000,41000,55000,60000,60000,60000,60000,60000
