Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,18328,8286,5500,9093.475187643036,14.941661996999756,48791.66316999181,2626.4941073766913,15.378193548001562,6.952406794998961,5500,11000,15000,17000,24000,27000,36000,44000,49000,49000,49000
PUT,PUT /api/v1/update/Location,10042,5245,45000,37950.212651835405,75.5319320014678,60587.354852003045,344.65853415654254,8.425786753002603,4.400841617157802,45000,60000,60000,60000,60000,60000,60000,60000,61000,61000,61000
,Aggregated,28370,13531,11000,19307.76343633605,14.941661996999756,60587.354852003045,1818.8031371166726,23.803980301004163,11.353248412156763,11000,21000,28000,39000,60000,60000,60000,60000,60000,61000,61000
