Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,16770,7688,7500,9997.290417981747,20.28234099270776,41083.74232900678,7881.613237924866,13.988575936741695,6.412890387696491,7500,12000,16000,17000,23000,30000,33000,35000,39000,41000,41000
PUT,PUT /api/v1/update/AdverseEvent,9082,7541,60000,44198.11053287273,133.09682799445,60818.32143101201,338.2077736181458,7.575685549045204,6.290271385746519,60000,60000,60000,60000,60000,60000,60000,60000,61000,61000,61000
,Aggregated,25852,15229,13000,22012.293059303265,20.28234099270776,60818.32143101201,5231.558757542936,21.564261485786897,12.703161773443009,13000,21000,35000,60000,60000,60000,60000,60000,61000,61000,61000
