Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,PUT /api/v1/update/MedicationAdministration,74297,0,73,143.24688481925324,22.090859999934764,1517.355268999836,1170.0,61.969006087018485,0.0,73,110,150,190,350,510,750,930,1300,1500,1500
,Aggregated,74297,0,73,143.24688481925324,22.090859999934764,1517.355268999836,1170.0,61.969006087018485,0.0,73,110,150,190,350,510,750,930,1300,1500,1500
