Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,34125,1,59,90.23579456328613,8.29203000103007,1819.462776002183,4763.864996336996,28.63043175028732,0.0008389870109974305,59,91,110,130,180,250,360,650,1600,1800,1800
PUT,PUT /api/v1/update/Location,34124,172,10000,11395.924165903669,40.643905002070824,40971.62775600009,634.5805884421521,28.62959276327632,0.14430576589155805,10000,15000,19000,22000,28000,31000,33000,34000,39000,41000,41000
,Aggregated,68249,173,130,5742.997153464085,8.29203000103007,40971.62775600009,2699.253044000645,57.260024513563636,0.1451447529025555,130,2600,10000,14000,22000,28000,31000,33000,38000,41000,41000
