Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,16704,7762,6400,9967.524344139805,17.083337006624788,44526.497123995796,2935.2978927203067,14.01343839454114,6.511752204168363,6400,12000,15000,18000,26000,35000,39000,43000,45000,45000,45000
PUT,PUT /api/v1/update/Procedure,8942,5665,60000,43142.96034347736,29.10977699502837,60550.616195003386,311.9012525162156,7.501686190372777,4.752522060888144,60000,60000,60000,60000,60000,60000,60000,60000,61000,61000,61000
,Aggregated,25646,13427,13000,21534.815489194625,17.083337006624788,60550.616195003386,2020.597247134056,21.515124584913917,11.264274265056507,13000,23000,36000,54000,60000,60000,60000,60000,60000,61000,61000
