Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,25179,0,89,140.55693368001,9.8710559977917,1057.826300006127,5452.0,21.036188865480486,0.0,89,140,210,260,370,430,480,510,600,640,1100
PUT,PUT /api/v1/update/Procedure,25179,57,13000,19512.907696829265,49.37358100141864,60029.034403007245,707.5919615552643,21.036188865480486,0.04762154038414503,13000,27000,36000,40000,46000,49000,52000,60000,60000,60000,60000
,Aggregated,50358,57,320,9826.73231525461,9.8710559977917,60029.034403007245,3079.795980777632,42.07237773096097,0.04762154038414503,320,6100,13000,22000,40000,46000,49000,52000,60000,60000,60000
