Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,25104,0,89,140.37636244993067,10.336122999433428,1096.1275300069246,8507.0,20.93213137202844,0.0,89,140,200,260,350,450,530,570,640,680,1100
PUT,PUT /api/v1/update/MedicationAdministration,25104,739,13000,18852.886271896503,57.623698987299576,60228.46112900879,1165.756492989165,20.93213137202844,0.6161904510806652,13000,22000,34000,39000,47000,52000,60000,60000,60000,60000,60000
,Aggregated,50208,739,280,9496.631317173205,10.336122999433428,60228.46112900879,4836.3782464945825,41.86426274405688,0.6161904510806652,280,5600,13000,19000,39000,47000,53000,60000,60000,60000,60000
