Method,Name,Error,Occurrences
PUT,PUT /api/v1/update/AdverseEvent,CatchResponseError('Unexpected status code: 500'),24
PUT,PUT /api/v1/update/AdverseEvent,CatchResponseError('Unexpected status code: 504'),270
