Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/convert,25864,0,75,117.4977232614918,8.720442885532975,726.3267061207443,4764.0,21.64008313961933,0.0,75,120,150,180,310,410,480,520,620,720,730
PUT,PUT /api/v1/update/Location,25864,214,13000,17786.568319304843,47.48091008514166,60208.52059987374,632.4906433652953,21.64008313961933,0.17905110547009495,13000,22000,28000,33000,50000,53000,59000,60000,60000,60000,60000
,Aggregated,51728,214,180,8952.033021283165,8.720442885532975,60208.52059987374,2698.2453216826475,43.28016627923866,0.17905110547009495,180,4800,13000,19000,33000,50000,55000,59000,60000,60000,60000
