Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/retrieve/Observation?_id=00490455dc743b66cedf1e2496f088a50345e60afc8f14faeed30fe9,1,0,29037.861796998186,29037.861796998186,29037.861796998186,29037.861796998186,1549.0,0.0008360533767373236,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,GET /api/v1/retrieve/Observation?_id=0049e7b4f6e9a996b611c08a3872f6cbde3b43b129f10ed8f63aa249,1,0,442.52088700886816,442.52088700886816,442.52088700886816,442.52088700886816,1549.0,0.0008360533767373236,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,GET /api/v1/retrieve/Observation?_id=004ca1d70a60a9e4a255978bdea1454a7f161435fc38e5193ae68d7f,1,0,31713.12372299144,31713.12372299144,31713.12372299144,31713.12372299144,1549.0,0.0008360533767373236,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,GET /api/v1/retrieve/Observation?_id=0053db53cdf5c4a3d53102ab6aaeb117266f431b942a46d5f71840a4,1,1,1377.2647850128124,1377.2647850128124,1377.2647850128124,1377.2647850128124,36.0,0.0008360533767373236,0.0008360533767373236,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,GET /api/v1/retrieve/Observation?_id=005440ff7c988b632d200289a80fc107df40d3e39ae2496aafe37269,1,1,4317.255835994729,4317.255835994729,4317.255835994729,4317.255835994729,36.0,0.0008360533767373236,0.0008360533767373236,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,GET /api/v1/retrieve/Observation?_id=0054f88c63723b6f523377e8827c47b45e5f6085c003b0661dd81904,1,0,27303.1999990053,27303.1999990053,27303.1999990053,27303.1999990053,1549.0,0.0008360533767373236,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,GET /api/v1/retrieve/Observation?_id=00580d162e805b946408e1518158002229a6a252b4b66bb8e2508368,1,0,16922.79979599698,16922.79979599698,16922.79979599698,16922.79979599698,1549.0,0.0008360533767373236,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,GET /api/v1/retrieve/Observation?_id=005cb45a514b68fe18268b5cc5c7049ac4c5125c36deecb6d53350ba,1,0,34865.40686599619,34865.40686599619,34865.40686599619,34865.40686599619,1549.0,0.0008360533767373236,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
GET,GET /api/v1/retrieve/Observation?_id=00666e0bf1d34e89e6662d64026f91d75f7c1d3c2b934281bc0b62e2,1,0,31525.52161399217,31525.52161399217,31525.52161399217,31525.52161399217,1549.0,0.0008360533767373236,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,GET /api/v1/retrieve/Observation?_id=006c34b5b864062467933c6621af10568ada2560364778e10b7cc091,1,0,14078.102982006385,14078.102982006385,14078.102982006385,14078.102982006385,1549.0,0.0008360533767373236,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,GET /api/v1/retrieve/Observation?_id=006cad06d73a4fd6e98d918496514e5afafa2888e0a3b98fce4770c0,1,0,20338.80137599772,20338.80137599772,20338.80137599772,20338.80137599772,1549.0,0.0008360533767373236,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,GET /api/v1/retrieve/Observation?_id=006e500bf54e2f093fbe99e5a44946f73233b73e4a2109bf58400999,1,0,95.36599699640647,95.36599699640647,95.36599699640647,95.36599699640647,1549.0,0.0008360533767373236,0.0,95,95,95,95,95,95,95,95,95,95,95
