Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/ltc_tw_2025_observation_blood_pressure,36926,0,270,510.67087965881984,13.127660000463948,3789.048520993674,1198.0,30.803416586843642,0.0,270,520,730,850,1300,1700,2500,3000,3600,3800,3800
,Aggregated,36926,0,270,510.67087965881984,13.127660000463948,3789.048520993674,1198.0,30.803416586843642,0.0,270,520,730,850,1300,1700,2500,3000,3600,3800,3800
